,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,380,i got,187,got it got,22
1,i,288,got it,95,got it i,21
2,then,151,upside down,51,then i got,17
3,it,143,flying bird,31,it i got,14
4,down,88,then i,27,it got it,13
5,one,83,looks like,26,see i got,10
6,boat,74,it i,23,okay i got,9
7,triangle,58,it got,22,i got house,8
8,guy,57,lets see,17,i got it,8
9,dog,54,okay i,17,lets see i,8
10,that,52,last one,14,down i got,7
11,sideways,52,third one,13,i got crab,6
12,upside,51,sea serpent,13,i think i,6
13,flying,45,got dog,12,okay got it,6
14,flamingo,45,i gots,12,then i have,6
15,sailboat,45,triangle diamond,12,i got guy,6
16,fish,44,sea monster,11,i got dog,6
17,man,42,i think,11,got upside down,6
18,bird,42,one is,11,i got triangle,5
19,okay,41,got boat,11,sailboat i got,5
