,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,42,i have,27,then i have,7
1,have,27,one is,7,okay i have,4
2,like,19,then i,7,i got it,4
3,person,17,upside down,6,i have sideways,3
4,then,15,got it,6,my second one,3
5,one,14,person with,6,ok my top,3
6,with,13,okay i,5,i have person,3
7,is,12,i got,5,an upside down,3
8,my,11,its like,4,i dont know,3
9,down,10,bottom one,4,one is person,3
10,it,10,second one,3,one is like,2
11,its,8,have sideways,3,think i got,2
12,got,7,last thing,3,oh my gosh,2
13,on,7,i dont,3,sideways person with,2
14,in,7,is person,3,person with triangle,2
15,bottom,6,i cant,3,my top one,2
16,thing,6,an upside,3,last thing is,2
17,this,6,my top,3,i have like,2
18,okay,6,have person,3,triangle in its,2
19,upside,6,my second,3,i have sailboat,2
