,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,163,got it,121,got it got,85
1,it,126,it got,86,it got it,81
2,then,25,got got,19,gotcha got it,10
3,is,22,one is,18,it gotcha got,9
4,with,21,i got,13,got it gotcha,9
5,i,20,gotcha got,10,got got got,8
6,one,18,it gotcha,9,first one is,8
7,in,14,first one,8,i got it,6
8,triangle,11,triangle body,6,got it first,5
9,of,11,upside down,5,it first one,5
10,gotcha,11,out of,5,i got got,4
11,guy,10,with square,5,got got it,4
12,down,9,it first,5,out of it,4
13,right,9,of it,4,pointing to right,3
14,boat,9,on its,4,it i got,3
15,first,8,to right,4,it all right,3
16,on,8,arrow pointing,4,got it all,3
17,its,7,with two,4,got it i,3
18,square,7,you got,3,got it yeah,3
19,third,6,yeah got,3,on its side,3
