,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,180,i have,156,then i have,27
1,have,166,upside down,36,okay i have,16
2,then,126,then i,28,it i have,12
3,like,92,looks like,25,got it i,12
4,down,77,got it,23,it looks like,10
5,with,63,okay i,18,i have dog,9
6,it,46,bird with,17,i have triangle,9
7,triangle,43,it i,13,big triangle wings,8
8,bird,38,flying bird,13,an upside down,8
9,an,37,going down,12,i have an,8
10,upside,37,to left,11,i have bird,7
11,big,32,it looks,11,i have seal,6
12,guy,30,facing down,11,half christmas tree,5
13,going,28,big triangle,10,that i have,5
14,that,26,triangle guy,10,going to right,5
15,looks,26,down then,9,sailboat i have,5
16,to,26,with two,9,to left then,5
17,okay,25,have triangle,9,you repeat that,5
18,got,24,have dog,9,i have guy,5
19,in,23,going to,9,i have sailboat,5
