,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,211,i have,167,then i have,36
1,have,173,then i,40,okay i have,21
2,then,88,okay i,24,ok i have,12
3,like,63,upside down,20,i dont know,9
4,with,47,looks like,15,i have like,9
5,okay,42,flying bird,14,loch ness monster,8
6,down,39,ok i,13,i have an,8
7,it,39,with two,10,i have dog,7
8,triangle,32,got it,10,an upside down,6
9,to,28,bird with,10,going to left,6
10,sailboat,27,i dont,10,have an arrow,5
11,two,24,have an,9,it looks like,5
12,ok,24,dont know,9,i have sideways,4
13,going,24,have like,9,i have flamingo,4
14,on,22,ness monster,8,i have other,4
15,an,22,christmas tree,8,i have upside,4
16,bird,22,i got,8,with two feet,4
17,is,21,to left,8,kind of looks,4
18,one,21,going to,8,i got it,4
19,flying,20,loch ness,8,i have slope,4
