,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,23,i have,17,loch ness monster,4
1,have,17,got it,7,an upside down,3
2,it,14,upside down,5,it i have,3
3,then,12,ness monster,4,okay i have,2
4,with,11,loch ness,4,got it i,2
5,dog,9,flying bird,4,flying bird rooster,2
6,up,8,it i,3,bird rooster duck,2
7,got,7,duck with,3,i have pot,2
8,down,7,an upside,3,rooster duck with,2
9,an,6,okay i,3,i have an,2
10,okay,6,up then,3,two feet i,2
11,sailboat,6,looks like,3,duck with two,2
12,duck,5,have pot,2,with two feet,2
13,square,5,sailboat i,2,then i have,2
14,triangle,5,like an,2,with its mouth,2
15,like,5,dog running,2,it looks like,2
16,upside,5,straight up,2,dog with its,2
17,guy,5,have an,2,is cat standing,1
18,loch,4,which ones,2,then weird shape,1
19,ness,4,what are,2,pot then weird,1
