,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,418,one is,109,first one is,65
1,is,207,i have,91,last one is,31
2,i,171,upside down,83,my first one,22
3,one,170,first one,71,is upside down,20
4,with,150,i got,53,loch ness monster,20
5,got,130,last one,41,then last one,19
6,down,113,ive got,33,then i have,18
7,like,107,then i,30,can you repeat,12
8,have,99,second is,29,then boat then,12
9,first,93,third is,29,my last one,11
10,upside,83,then last,26,all right i,11
11,on,70,all right,25,lady in dress,10
12,right,70,my first,23,right i got,10
13,triangle,65,boat then,22,one is upside,10
14,in,61,is upside,20,i have person,10
15,boat,59,ness monster,20,ok i have,10
16,person,57,loch ness,20,then my last,9
17,second,55,then boat,19,alright my first,9
18,bird,55,holding triangle,17,with two sails,8
19,last,55,with no,16,then i got,8
