,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,200,i have,80,it got it,14
1,i,122,got it,46,ok i have,13
2,have,84,upside down,36,first one is,13
3,got,76,i got,33,got it got,13
4,with,66,one is,23,okay i have,9
5,it,65,first one,21,got it okay,8
6,one,55,it got,14,lady in dress,8
7,down,50,ok i,14,then upside down,8
8,like,43,with square,13,then dog with,7
9,upside,36,okay i,11,got it i,7
10,triangle,36,dog with,10,i got it,7
11,is,36,in dress,9,loch ness monster,6
12,in,31,holding triangle,9,it i have,6
13,first,29,last one,9,it okay i,6
14,dog,28,with triangle,9,all right i,6
15,square,27,then dog,9,dog with square,5
16,on,26,it okay,8,i have dog,5
17,person,25,second one,8,with square head,5
18,right,24,then upside,8,with triangle body,5
19,ok,21,lady in,8,right i have,5
