,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,290,got it,250,got it got,144
1,it,272,it got,145,it got it,141
2,i,148,i have,74,got it i,29
3,have,78,i got,43,it i have,22
4,then,63,it i,30,got it okay,21
5,okay,34,it okay,22,i got it,21
6,with,32,okay got,20,okay got it,20
7,like,32,then i,19,it okay got,15
8,triangle,32,upside down,15,then i have,12
9,on,26,okay i,13,okay i have,8
10,down,23,flying bird,11,got it ok,7
11,its,19,looks like,8,then i got,7
12,one,19,ive got,7,it okay i,6
13,flying,18,i think,7,think i got,5
14,going,18,it ok,7,i have dog,5
15,of,17,two feet,6,i have flying,5
16,that,17,ok i,6,have flying bird,5
17,flamingo,16,have dog,6,it looks like,5
18,right,16,loch ness,5,ok got it,4
19,guy,15,to left,5,loch ness monster,4
