,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,276,got it,254,got it got,185
1,it,256,it got,185,it got it,182
2,i,70,i got,32,got it i,23
3,then,46,it i,23,i got it,20
4,have,21,i have,21,it i got,11
5,with,16,upside down,13,loch ness monster,6
6,down,16,one is,8,got it gotcha,5
7,upside,13,then i,8,got it ok,5
8,is,13,first one,6,i got this,5
9,one,11,ness monster,6,it i have,5
10,yeah,11,loch ness,6,gotcha got it,5
11,right,9,got this,6,first one is,5
12,on,9,legs then,5,then i have,4
13,no,9,no no,5,no no no,4
14,like,8,it gotcha,5,got it all,4
15,legs,8,it ok,5,it all right,4
16,okay,8,okay i,5,it ok i,4
17,triangle,8,all right,5,right i got,4
18,boat,8,cake cake,5,all right i,4
19,monster,7,gotcha got,5,cake cake cake,4
