,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,602,i have,321,then i have,56
1,have,338,i got,167,loch ness monster,28
2,then,325,upside down,92,then i got,19
3,got,225,then i,80,an upside down,18
4,like,187,flying bird,35,okay i have,17
5,with,136,looks like,33,i have an,15
6,down,135,loch ness,31,i got this,14
7,it,107,ness monster,28,have upside down,11
8,one,106,okay i,27,i have upside,11
9,to,101,one is,26,i have dog,11
10,triangle,99,got it,22,so i got,10
11,upside,95,going to,19,it looks like,10
12,is,94,an upside,19,i have this,9
13,guy,89,bird with,18,i have like,9
14,that,83,got this,18,i dont know,9
15,this,76,so i,17,third one is,9
16,bird,76,okay so,17,i have big,8
17,right,68,to left,16,down i have,8
18,on,65,ive got,16,i have bridge,8
19,of,63,kind of,16,i have fish,8
