,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,44,upside down,13,all right ive,5
1,got,21,ive got,12,right ive got,5
2,of,21,kind of,10,on its side,4
3,with,20,one is,9,last one is,4
4,one,20,holding triangle,6,then birthday cake,3
5,like,18,all right,6,with tower on,3
6,in,16,got it,5,string of triangles,3
7,its,15,out of,5,then last one,3
8,on,15,first one,5,boat with tower,3
9,down,14,then last,5,one is kind,3
10,is,14,right ive,5,is kind of,3
11,upside,13,birthday cake,4,guy holding triangle,3
12,triangle,12,last one,4,lady in dress,3
13,ive,12,boat with,4,one is like,3
14,it,11,on its,4,comin out of,3
15,kind,10,its side,4,then fat road,2
16,right,9,comin out,4,triangle coming out,2
17,out,8,tower on,3,rabbit comin out,2
18,first,8,got like,3,kind of weird,2
19,bottom,7,of triangles,3,fat road runner,2
