,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,288,one is,149,third one is,45
1,one,287,second one,70,second one is,38
2,is,169,i got,66,first one is,37
3,got,150,upside down,65,then last one,30
4,it,132,third one,65,so i have,27
5,i,123,first one,56,out of it,26
6,with,120,last one,56,then third one,24
7,down,98,got it,50,last one is,23
8,second,87,so i,47,so i got,20
9,like,86,i have,44,okay so i,15
10,triangle,85,then last,39,coming out of,14
11,last,77,looking thing,38,then second one,14
12,third,73,of it,35,got it i,11
13,on,71,out of,29,looking thing with,11
14,first,68,then third,26,taken out of,11
15,square,67,one its,22,of it then,10
16,upside,66,it has,20,got it got,10
17,its,60,with two,20,it got it,10
18,of,57,coming out,19,one is triangle,9
19,so,56,last ones,19,looking thing then,9
