,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,105,got it,101,it got it,73
1,got,105,it got,74,got it got,73
2,i,28,i got,17,i got it,14
3,then,18,it i,14,got it i,14
4,like,14,i have,7,it i got,7
5,with,9,okay i,7,got it okay,6
6,one,9,it okay,6,it okay i,6
7,okay,9,one is,6,okay i got,6
8,person,9,upside down,4,it i have,5
9,have,8,person with,4,first one is,3
10,is,8,triangle body,3,think i got,3
11,legs,5,with triangle,3,i think i,3
12,two,5,i think,3,person with triangle,3
13,my,5,think i,3,his hind legs,2
14,down,5,first one,3,hind legs then,2
15,triangle,5,then person,3,okay got it,2
16,body,4,it first,2,then person with,2
17,on,4,okay got,2,upside down palm,2
18,upside,4,right side,2,down palm tree,2
19,boat,3,then squirrel,2,it i think,2
