,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,215,one is,89,first one is,37
1,one,138,first one,47,last one is,20
2,is,124,upside down,47,second one is,14
3,with,110,ive got,32,my first one,14
4,got,109,i got,25,third one is,12
5,in,76,got it,25,all right ive,11
6,first,74,last one,24,right ive got,11
7,down,70,second one,23,then last one,11
8,like,68,kind of,20,lady in dress,11
9,on,65,i have,19,then upside down,10
10,it,56,my first,18,then second one,8
11,i,55,all right,17,is upside down,8
12,triangle,53,third one,17,upside down guy,8
13,right,52,with triangle,16,on right then,7
14,of,49,with two,15,right side up,7
15,upside,48,then last,15,is kind of,7
16,guy,40,dog with,13,got it i,7
17,last,38,in dress,13,then i have,7
18,second,35,lady in,13,on its side,6
19,ive,33,on right,12,one is weird,6
