,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,224,one is,90,first one is,38
1,one,140,first one,48,last one is,20
2,is,125,upside down,45,my first one,14
3,with,113,ive got,33,second one is,14
4,got,84,last one,24,all right ive,12
5,first,75,second one,23,right ive got,12
6,in,73,i got,22,then last one,12
7,on,73,kind of,20,lady in dress,11
8,down,69,i have,19,third one is,11
9,like,68,my first,18,then upside down,10
10,right,56,all right,18,is upside down,8
11,triangle,56,then last,16,upside down guy,8
12,i,50,with triangle,16,then second one,8
13,upside,46,third one,16,then i have,7
14,of,45,with two,15,is kind of,7
15,guy,42,on right,14,right side up,7
16,it,39,on left,14,one is weird,7
17,last,38,dog with,13,on right then,7
18,second,36,lady in,13,one is kind,6
19,sailboat,35,in dress,13,one is upside,6
