,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,47,i got,18,last one is,4
1,got,30,i have,13,see i got,4
2,then,27,upside down,11,then last one,4
3,one,15,one is,8,upside down duck,3
4,have,15,flying bird,8,an upside down,3
5,is,13,last one,6,lets see i,3
6,like,13,looks like,5,its windmill i,2
7,down,13,on his,5,third one is,2
8,flying,12,then i,5,upside down flamingo,2
9,guy,11,then last,4,flamingo flying bird,2
10,upside,11,see i,4,right i have,2
11,bird,11,lets see,3,i couldnt think,2
12,flamingo,11,okay got,3,sideways upside down,2
13,of,10,start over,3,upside down vulture,2
14,you,10,that i,3,all right i,2
15,sideways,9,third one,3,i got woman,2
16,his,9,kind of,3,holding out something,2
17,last,8,look like,3,on his stomach,2
18,duck,8,running guy,3,windmill i couldnt,2
19,that,8,an upside,3,laying on his,2
