,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,390,got it,378,it got it,245
1,got,382,it got,245,got it got,244
2,i,112,i have,51,got it okay,41
3,okay,57,i got,43,i got it,41
4,have,53,it okay,41,got it i,37
5,like,36,it i,38,okay got it,30
6,then,31,okay got,30,it okay got,25
7,with,30,okay i,15,it i have,17
8,guy,20,then i,15,it i got,16
9,one,16,it ok,12,then i have,11
10,ok,15,looks like,8,it okay i,11
11,sailboat,12,loch ness,7,got it ok,11
12,going,11,have guy,6,okay i have,7
13,that,11,ness monster,6,ok got it,6
14,thats,11,ok got,6,loch ness monster,6
15,its,11,with two,6,i have guy,6
16,to,10,it yeah,5,got it yeah,5
17,two,10,upside down,5,it ok got,5
18,on,9,on one,5,okay i got,5
19,down,9,two feet,5,it yeah i,4
