,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,22,i have,18,then i have,7
1,i,21,upside down,10,okay i have,4
2,like,20,then i,7,an upside down,4
3,have,19,okay i,5,i have this,3
4,down,15,got it,4,pointing to left,2
5,got,10,an upside,4,then upside down,2
6,upside,10,to left,3,i have guy,2
7,with,8,looks like,3,have this person,2
8,one,8,with like,3,guy in fetal,2
9,bird,8,flying bird,3,in fetal position,2
10,this,7,ive got,3,bunny laying down,2
11,it,7,down then,3,laying down then,2
12,guy,6,have this,3,i have bird,2
13,okay,6,left then,2,upside down triangle,2
14,to,5,bunny laying,2,down triangle guy,2
15,that,5,with one,2,triangles pointing to,2
16,in,5,this person,2,to left then,2
17,ive,5,one leg,2,person coming off,2
18,an,5,down triangle,2,left then sideways,1
19,thing,5,have an,2,have fox then,1
