,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,324,one is,81,first one is,35
1,i,119,i got,76,loch ness monster,26
2,one,113,first one,38,all right i,24
3,is,105,upside down,37,my first one,23
4,got,92,all right,36,right i got,20
5,with,76,i have,28,then upside down,19
6,right,55,loch ness,26,fourth one is,15
7,my,51,ness monster,26,second one is,15
8,down,50,my first,25,third one is,14
9,first,45,right i,25,ness monster then,11
10,dog,42,second one,22,right my first,10
11,guy,38,then upside,19,alright my first,9
12,all,37,third one,17,all right my,9
13,upside,37,fourth one,17,weird loch ness,9
14,second,34,then dog,15,my fourth one,8
15,weird,31,looking thing,15,my third one,8
16,triangle,31,then weird,13,bird with its,8
17,have,30,dog with,12,its wings spread,8
18,third,29,got it,12,with its wings,8
19,on,27,thing then,11,my second one,7
