,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,274,got it,251,got it got,182
1,it,253,it got,182,it got it,179
2,i,73,i got,33,got it i,23
3,then,51,i have,23,i got it,20
4,have,23,it i,23,it i got,11
5,down,17,upside down,13,first one is,7
6,with,17,one is,11,loch ness monster,6
7,is,16,then i,10,then i have,6
8,one,14,first one,8,all right i,5
9,upside,13,all right,6,it i have,5
10,yeah,11,ness monster,6,got it ok,5
11,right,10,got this,6,right i got,5
12,on,10,loch ness,6,i got this,5
13,no,9,right i,5,got it first,4
14,boat,8,legs then,5,it first one,4
15,legs,8,cake cake,5,got it gotcha,4
16,like,8,no no,5,got it all,4
17,monster,8,dog with,5,no no no,4
18,all,8,it ok,5,it ok i,4
19,first,8,ive got,5,gotcha got it,4
