,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,346,got it,298,got it got,205
1,it,305,it got,205,it got it,200
2,i,59,ive got,33,i got it,28
3,ive,33,i got,33,it ive got,19
4,then,28,it ive,19,got it ive,18
5,bird,22,it i,16,got it i,15
6,with,21,upside down,13,got it okay,10
7,down,18,it okay,10,it i got,9
8,that,17,i think,10,think i got,9
9,flying,15,think i,9,i think i,9
10,upside,13,flying bird,8,bird got it,6
11,this,12,i have,8,gotcha got it,5
12,sideways,11,bird flying,7,loch ness monster,4
13,okay,11,bird got,6,okay ive got,4
14,boat,11,got this,6,then i have,4
15,up,10,bird with,5,flying bird got,4
16,think,10,gotcha got,5,bird with tail,3
17,like,10,okay ive,4,half stop sign,3
18,its,10,native american,4,got it all,3
19,of,9,loch ness,4,done got it,3
