,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,234,ive got,112,right ive got,21
1,then,226,got it,55,all right ive,18
2,ive,112,upside down,52,last one is,17
3,with,111,one is,35,got it ive,15
4,like,109,all right,30,it ive got,15
5,one,79,i got,29,got upside down,12
6,down,76,kind of,22,then upside down,11
7,right,75,right ive,21,got it got,10
8,it,67,last one,21,then ive got,9
9,in,62,flying bird,17,then last one,9
10,first,62,with triangle,16,ive got like,9
11,triangle,59,got like,15,ive got upside,9
12,on,56,it ive,15,um ive got,8
13,is,55,road runner,13,bird with triangle,8
14,upside,52,second one,13,with triangle wings,8
15,i,48,on right,12,lady in dress,7
16,square,46,got upside,12,third one is,7
17,sailboat,43,then last,12,in last one,7
18,dog,43,in dress,11,upside down flamingo,7
19,thing,42,to right,11,then second one,7
