,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,283,got it,254,got it got,149
1,it,268,it got,151,it got it,147
2,i,123,i got,54,i got it,38
3,have,43,i have,39,got it i,33
4,then,31,it i,33,it i have,12
5,down,24,upside down,15,got it okay,12
6,okay,24,it okay,13,it i got,11
7,one,19,i think,12,think i got,10
8,with,18,okay i,11,i think i,10
9,bird,16,think i,10,okay got it,8
10,upside,15,one is,9,got it ok,8
11,of,14,okay got,8,okay i got,8
12,is,14,it ok,8,done got it,6
13,guy,13,loch ness,7,then i have,6
14,done,13,bird flying,7,loch ness monster,5
15,think,13,then i,7,it okay i,5
16,its,12,all right,6,got it thats,4
17,flying,12,done got,6,bird got it,4
18,right,12,flying bird,6,it i think,4
19,dog,11,ok i,6,got it its,4
