,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,with,56,upside down,29,on its hind,7
1,down,44,got it,21,its hind legs,7
2,then,41,on its,13,woman in dress,7
3,one,41,one is,10,on its side,5
4,on,33,hind legs,9,upside down flamingo,5
5,upside,29,one with,8,string of triangles,4
6,got,28,holding triangle,8,on right side,4
7,its,27,in dress,7,heads in bottom,3
8,it,26,its hind,7,coming out of,3
9,triangle,21,with two,7,boat with tower,3
10,in,19,woman in,7,with tower on,3
11,is,19,third one,6,loch ness monster,3
12,bird,17,bird flying,6,hind legs with,3
13,left,15,on right,6,it upside down,3
14,of,15,its side,5,then dog with,3
15,legs,14,right side,5,upside down crow,3
16,up,13,last one,5,with big ears,3
17,like,13,on left,5,flamingo upside down,3
18,right,13,with head,5,with two triangles,3
19,head,12,going down,5,pokemon thing with,3
