,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,376,one is,188,third one is,56
1,one,344,upside down,87,second one is,49
2,is,216,i got,85,first one is,45
3,got,162,third one,82,then last one,39
4,i,151,second one,80,last one is,32
5,with,150,last one,69,out of it,31
6,down,124,first one,68,then third one,29
7,it,118,so i,54,so i got,28
8,triangle,117,i have,52,so i have,26
9,second,103,then last,49,coming out of,19
10,like,102,looking thing,46,then second one,19
11,last,97,of it,41,okay so i,15
12,third,94,out of,36,looking thing with,13
13,on,91,then third,31,shapes coming out,13
14,upside,88,got it,27,taken out of,13
15,first,86,coming out,27,of it then,12
16,square,84,then second,26,got upside down,11
17,its,74,one its,25,looking thing then,11
18,sailboat,70,last ones,25,with two triangles,10
19,so,69,with two,23,one is triangle,10
