,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,252,got it,153,got it got,67
1,got,203,i have,150,it got it,67
2,it,177,it got,67,then i have,29
3,have,158,i got,57,got it i,27
4,then,101,upside down,37,it i have,21
5,like,59,then i,31,i got it,18
6,down,58,it i,31,i have dog,11
7,with,57,looks like,18,i think i,9
8,triangle,47,flying bird,16,i have guy,8
9,guy,45,i think,14,an upside down,8
10,one,38,okay i,14,think i got,8
11,right,38,going to,11,i have like,7
12,upside,37,have dog,11,have dog with,6
13,is,32,think i,11,i have an,6
14,to,29,all right,10,okay i have,6
15,okay,29,right i,8,i dont know,6
16,dog,28,right side,8,okay got it,6
17,that,28,to right,8,right side up,6
18,its,28,an upside,8,got it okay,5
19,on,27,have guy,8,okay i got,5
