,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,102,one is,34,first one is,24
1,with,54,first one,28,okay i have,11
2,is,53,i have,17,last one is,8
3,one,44,upside down,16,lady in dress,8
4,first,43,got it,11,in dress with,7
5,down,29,with square,11,dress with no,6
6,person,19,okay i,11,with no arms,6
7,i,19,in dress,10,dog with square,6
8,have,18,dog with,9,upside down person,5
9,okay,16,lady in,9,one with arrow,4
10,upside,16,my first,8,my first one,4
11,it,16,last one,8,is lady in,4
12,dog,16,dress with,7,my last one,4
13,triangle,15,arrow pointing,7,with square snout,4
14,arrow,15,then dog,6,okay my first,4
15,square,15,first ones,6,square body then,3
16,in,13,down then,6,then one with,3
17,my,13,no arms,6,i have guy,3
18,like,11,with no,6,mountain with cave,3
19,guy,11,square body,5,with square body,3
