,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,352,i have,133,first one is,31
1,i,207,one is,63,ok i have,14
2,have,143,upside down,62,last one is,13
3,with,130,i got,50,okay i have,13
4,one,112,first one,37,then upside down,12
5,is,108,got it,33,lady in dress,10
6,got,91,last one,25,all right i,10
7,down,89,dog with,20,then last one,9
8,like,89,with two,18,i got it,8
9,triangle,74,holding triangle,18,alright i have,8
10,it,72,okay i,17,it got it,8
11,upside,62,ok i,16,got it got,8
12,dog,58,with triangle,15,i have guy,8
13,first,53,in dress,14,my last one,7
14,on,46,then upside,12,third one is,7
15,in,45,my first,12,with two triangles,7
16,its,42,two triangles,12,upside down duck,7
17,right,40,third is,12,one is dog,7
18,person,39,all right,12,right i have,7
19,square,35,palm tree,12,loch ness monster,7
