,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,833,i have,489,then i have,136
1,have,506,i got,170,okay i have,54
2,then,319,then i,162,i have this,37
3,like,241,upside down,108,i dont know,35
4,got,209,okay i,86,i have like,30
5,with,176,flying bird,67,okay i got,29
6,down,157,i dont,44,loch ness monster,28
7,okay,144,looks like,41,an upside down,27
8,one,131,have this,38,i have sideways,24
9,triangle,121,one is,37,i have an,20
10,it,115,dont know,35,on one foot,18
11,is,114,have like,34,ok i have,17
12,upside,109,on one,29,then i got,15
13,on,95,loch ness,29,i have dog,15
14,flying,91,with like,29,going to left,14
15,bird,88,ness monster,28,i have flying,13
16,this,85,an upside,27,out of it,13
17,person,83,got it,26,flying bird going,12
18,that,81,triangle chest,25,have an upside,12
19,sailboat,81,have sideways,25,i got an,12
