,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,75,upside down,27,out of it,8
1,with,50,last one,11,its hind legs,8
2,down,45,i got,10,on its hind,8
3,one,42,out of,10,coming out of,6
4,on,42,looking thing,10,upside down flamingo,5
5,triangle,31,on right,10,then last one,4
6,upside,27,third one,9,square on left,4
7,square,24,on its,9,in bottom left,4
8,is,22,on left,9,square with stuff,4
9,bird,22,one is,8,arrow pointing down,4
10,in,20,its hind,8,woman in dress,4
11,its,20,hind legs,8,stuff coming out,4
12,right,20,square on,8,crow upside down,3
13,like,20,of it,8,heads in bottom,3
14,left,20,coming out,7,last one is,3
15,dog,17,left then,7,okay i got,3
16,it,17,triangle bird,6,with wings spread,3
17,out,17,dog with,6,bird with wings,3
18,got,17,second one,6,on left then,3
19,of,15,right then,6,on right then,3
