,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,157,i got,108,i got this,33
1,got,122,then i,47,then i got,29
2,then,66,got this,36,then i have,17
3,this,54,i have,22,so i got,10
4,like,45,you know,12,yo i got,7
5,you,34,upside down,11,two nacho bowl,6
6,have,25,so i,10,i got that,5
7,so,23,looks like,10,i got like,4
8,it,23,nacho bowl,7,man i got,4
9,to,22,yo i,7,i have this,4
10,that,22,christmas tree,6,bowl then i,4
11,thing,19,all right,6,who does that,4
12,is,19,two nacho,6,i got two,4
13,in,16,does that,5,bowl i got,3
14,its,16,man i,5,it looks like,3
15,down,16,got that,5,got two nacho,3
16,yo,16,got like,5,nacho bowl then,3
17,know,15,have this,5,got this cave,3
18,with,14,this cave,5,i dont need,3
19,one,14,going to,5,like you know,3
