,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,182,i have,155,then i have,27
1,have,166,upside down,34,okay i have,14
2,then,114,then i,28,got it i,12
3,like,91,got it,26,it i have,12
4,down,75,looks like,23,it looks like,10
5,with,62,bird with,18,i have dog,10
6,it,50,okay i,16,an upside down,8
7,triangle,39,flying bird,13,i have triangle,8
8,bird,39,it i,13,big triangle wings,8
9,upside,36,going down,11,i have bird,7
10,big,34,facing down,11,i have an,7
11,an,31,it looks,11,you repeat that,6
12,guy,28,to left,10,i have seal,6
13,got,27,big triangle,10,i have like,6
14,that,26,have dog,10,with weird neck,6
15,looks,24,triangle guy,9,it got it,5
16,going,24,going to,9,sailboat i have,5
17,in,24,laying down,9,in fetal position,5
18,okay,24,with two,9,i have big,5
19,weird,23,an upside,9,i have guy,5
