,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,413,got it,111,first one is,63
1,got,229,one is,108,last one is,32
2,is,202,i have,89,loch ness monster,22
3,i,177,upside down,81,got it i,22
4,one,166,first one,68,is upside down,21
5,with,147,i got,58,my first one,21
6,it,136,last one,41,got it first,21
7,like,109,ive got,37,then last one,20
8,down,107,third is,29,then i have,17
9,have,96,then i,28,it first one,17
10,first,90,second is,28,it i have,16
11,upside,81,then last,26,got it got,15
12,triangle,68,boat then,23,it got it,13
13,on,67,all right,23,then boat then,13
14,right,67,ness monster,22,one is upside,11
15,in,59,it i,22,all right i,11
16,person,58,loch ness,22,my last one,11
17,boat,56,my first,22,can you repeat,11
18,last,54,is upside,21,ok i have,10
19,second,54,it first,21,i have person,10
