,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,197,got it,180,it got it,109
1,got,196,it got,111,got it got,108
2,then,56,one is,31,got it yep,15
3,one,52,i got,21,gotcha got it,15
4,i,40,upside down,19,got it gotcha,14
5,is,32,i have,16,i got it,12
6,down,31,it yep,15,so i have,11
7,yep,31,gotcha got,15,first one is,10
8,gotcha,26,first one,14,third one is,9
9,with,23,it gotcha,14,it gotcha got,8
10,upside,19,second one,14,yep got it,8
11,of,17,so i,13,second one is,8
12,have,17,third one,11,got it first,8
13,second,16,yep yep,10,got it i,8
14,first,16,yep got,9,got it okay,8
15,square,16,of it,8,out of it,7
16,third,15,out of,8,it first one,6
17,last,15,it okay,8,it yep yep,5
18,its,15,it i,8,it i got,5
19,so,14,it first,8,my first one,5
