,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,28,got it,22,i got it,9
1,i,27,i got,15,got it i,5
2,it,24,it i,5,it got it,3
3,yep,12,i have,5,got it got,3
4,yeah,9,yeah yeah,4,i have all,3
5,all,6,yep yep,4,of those i,2
6,those,5,of those,3,yep yep yep,2
7,have,5,have all,3,got it yep,2
8,that,4,yep i,3,have all of,2
9,yup,4,it got,3,all of those,2
10,you,4,yup yup,3,those i got,2
11,of,3,those i,2,yep i got,2
12,like,3,them all,2,got it yeah,2
13,mhm,3,it yeah,2,yup yup yup,2
14,to,3,yeah i,2,wonder where that,1
15,its,3,to go,2,have all those,1
16,them,2,it yep,2,all those got,1
17,down,2,all of,2,those got it,1
18,go,2,i wonder,1,it yeah dude,1
19,chelsea,2,those yep,1,yeah dude got,1
