,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,156,got it,120,got it got,82
1,it,127,it got,83,it got it,79
2,with,33,one is,21,gotcha got it,10
3,in,33,i got,14,got it gotcha,9
4,then,30,gotcha got,10,it gotcha got,9
5,is,25,it gotcha,9,first one is,8
6,one,24,first one,8,last one is,6
7,i,21,upside down,8,i got it,6
8,triangle,19,with square,7,got it first,5
9,boat,17,ive got,6,it first one,5
10,on,16,last one,6,out of it,4
11,down,16,boat with,6,got it all,4
12,guy,13,triangle body,6,it all right,4
13,of,12,arrow pointing,5,all right i,3
14,arrow,11,it first,5,right i got,3
15,square,11,out of,5,pointing to right,3
16,person,11,of it,5,got it yeah,3
17,gotcha,11,got got,5,third one is,3
18,right,10,with two,4,i got got,3
19,last,10,it all,4,got got it,3
