,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,152,got it,144,it got it,99
1,got,149,it got,99,got it got,99
2,then,54,one is,34,first one is,21
3,one,47,first one,25,got it first,12
4,is,44,upside down,25,it first one,10
5,down,32,i have,16,my first one,10
6,i,31,it first,12,then i have,10
7,first,30,then i,11,got it i,8
8,with,26,my first,11,i got it,7
9,upside,25,i got,11,got it gotcha,6
10,have,16,it i,8,then upside down,6
11,second,14,last ones,7,third one is,5
12,my,14,second one,7,second one is,5
13,last,13,then upside,6,is upside down,5
14,of,12,third one,6,upside down flamingo,5
15,third,11,last one,6,got it okay,4
16,ones,11,it gotcha,6,gotcha got it,4
17,triangle,10,second is,5,got it my,4
18,sailboat,10,down flamingo,5,it my first,3
19,square,9,is upside,5,one is triangle,3
