,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,422,one is,201,first one is,73
1,one,334,first one,97,my first one,41
2,is,279,upside down,88,last one is,41
3,like,227,i got,69,third one is,34
4,with,171,last one,64,second one is,31
5,i,163,i have,58,okay i have,24
6,my,147,second one,49,then last one,23
7,down,142,third one,48,my last one,22
8,first,122,my first,47,then upside down,16
9,got,121,looks like,41,one is like,16
10,it,116,got it,35,my third is,15
11,triangle,97,okay i,32,is upside down,13
12,its,92,then last,27,dog with square,12
13,upside,88,then my,27,then my last,12
14,on,88,my third,25,one is dog,11
15,last,78,down then,24,hand corner then,11
16,second,73,my last,23,loch ness monster,11
17,in,73,kind of,23,okay my first,11
18,third,72,dog with,22,then second one,11
19,okay,70,looking thing,22,upside down flamingo,11
