,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,301,got it,278,got it got,130
1,got,290,i have,157,it got it,130
2,i,209,it got,130,got it i,38
3,have,165,it i,40,got it okay,35
4,then,119,okay i,38,it i have,33
5,like,93,it okay,36,then i have,31
6,okay,87,then i,35,okay i have,31
7,with,73,i got,33,i got it,30
8,guy,53,flying bird,25,okay got it,18
9,going,43,upside down,23,it okay i,17
10,to,41,okay got,18,loch ness monster,15
11,down,41,loch ness,16,got it ok,13
12,sailboat,38,ness monster,15,i have guy,10
13,triangle,37,it ok,14,i have an,9
14,one,37,looks like,14,it okay got,9
15,is,31,going to,14,i have person,8
16,ok,30,to left,14,going to left,8
17,its,29,ok i,12,ok i have,8
18,bird,28,triangle body,12,got it yeah,7
19,flying,26,to right,11,it ok i,7
