,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,125,got it,105,got it got,54
1,it,115,it got,54,it got it,52
2,i,46,i have,19,got it i,11
3,then,32,upside down,15,it i have,7
4,with,22,i got,13,first one is,6
5,have,21,it i,11,my first one,6
6,is,20,one is,7,it my first,5
7,down,20,first one,7,got it my,5
8,one,19,my first,6,i got it,4
9,like,18,it my,5,got it gotcha,3
10,upside,15,looks like,5,gotcha got it,3
11,boat,14,i think,5,duck flying bird,3
12,dog,14,okay i,4,out of it,3
13,in,13,christmas tree,4,have upside down,3
14,triangle,11,an arrow,4,i have upside,3
15,of,10,second one,4,got it okay,3
16,on,9,sail boat,4,it gotcha got,3
17,ram,9,out of,3,then rocket ship,2
18,first,9,ive got,3,it ive got,2
19,second,8,flying bird,3,right side up,2
