,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,91,got it,67,it got it,31
1,it,79,it got,31,got it got,28
2,i,55,i got,28,i got it,9
3,have,14,i have,11,got it i,9
4,down,11,it i,10,it i got,5
5,with,9,upside down,8,then i have,4
6,okay,9,then i,6,okay i got,4
7,done,8,okay i,5,it i have,3
8,boat,8,an upside,3,it yeah i,3
9,you,8,it thats,3,got it yeah,3
10,upside,8,it yeah,3,got it thats,3
11,that,7,yeah i,3,an upside down,3
12,thats,7,it oh,3,percent got it,2
13,like,7,i think,3,got it okay,2
14,then,7,it okay,3,think i got,2
15,an,5,flying bird,3,gotcha got it,2
16,oh,5,i dont,3,i got that,2
17,yeah,5,ive got,3,i got boat,2
18,to,5,ness monster,2,cool got it,2
19,right,4,loch ness,2,got it cool,2
