,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,54,got it,47,got it got,28
1,got,51,it got,28,it got it,28
2,then,40,i got,14,i got it,10
3,i,28,i have,10,got it i,7
4,like,12,it i,7,it i got,4
5,on,12,upside down,7,then upside down,4
6,with,11,all right,4,all right i,3
7,have,10,guy with,4,it all right,3
8,right,9,then guy,4,guy with his,3
9,down,8,then upside,4,got it all,3
10,guy,8,right i,3,yeah i got,2
11,upside,7,it has,3,in fetal position,2
12,in,7,with his,3,got it okay,2
13,dog,7,okay i,3,it okay i,2
14,one,7,has like,3,hand side then,2
15,top,6,right then,3,upside down duck,2
16,okay,6,on right,3,got guy with,2
17,all,6,it all,3,got it can,2
18,its,6,in fetal,2,okay i have,2
19,my,5,hand side,2,on all fours,2
