,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,75,ive got,22,then upside down,4
1,got,64,i have,15,um ive got,4
2,like,42,upside down,11,got it ive,3
3,i,35,got it,11,loch ness monster,3
4,with,22,got got,10,ive got like,3
5,ive,22,arrow pointing,6,got got got,3
6,down,20,then like,6,upside down mountain,3
7,triangle,20,i got,6,it ive got,3
8,on,20,got like,5,can you repeat,3
9,right,19,um ive,4,ive got upside,2
10,have,16,second one,4,oh my god,2
11,it,15,like big,4,square nose snout,2
12,one,15,then upside,4,nose snout dog,2
13,boat,14,one is,4,snout dog looking,2
14,in,14,then boat,4,little triangle on,2
15,arrow,12,flying bird,4,arrow pointing up,2
16,is,12,i dont,4,dont even know,2
17,person,11,thing then,4,got upside down,2
18,you,11,boat with,4,then fish swimming,2
19,upside,11,kind of,3,fish swimming down,2
