,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,59,i got,33,then i got,8
1,i,58,i have,16,loch ness monster,8
2,then,41,ive got,15,i got this,7
3,have,17,then i,12,then i have,4
4,with,16,got it,12,uh loch ness,4
5,ive,15,loch ness,8,i got square,3
6,it,14,ness monster,8,that for me,3
7,triangle,12,got this,8,remember that for,3
8,looking,12,upside down,6,ness monster tornado,3
9,this,11,square snout,5,got flying bird,3
10,sailboat,10,flying bird,4,yo i got,3
11,like,10,looking left,4,square snout dog,3
12,monster,9,uh loch,4,got square snout,3
13,down,9,to right,4,i got triangle,2
14,alright,9,dog with,4,flat sides on,2
15,weird,9,triangle diamond,3,alright i have,2
16,to,9,alright i,3,got it good,2
17,um,9,all right,3,one flat sides,2
18,left,8,boat i,3,snout dog with,2
19,dog,8,we should,3,boat i have,2
