,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,151,got it,145,it got it,82
1,got,146,it got,82,got it got,81
2,then,83,it okay,36,got it okay,36
3,okay,49,i have,32,okay i have,17
4,i,40,okay i,19,okay got it,14
5,have,36,upside down,16,got it ok,13
6,with,34,okay got,14,it okay i,13
7,down,24,it ok,14,it okay got,9
8,one,21,my first,13,got it i,8
9,like,21,one is,13,it ok i,7
10,guy,20,then dog,10,my first one,7
11,my,17,it i,8,okay my first,7
12,dog,16,first one,8,first one is,6
13,first,16,dog with,8,my first ones,6
14,upside,16,holding triangle,8,ok i have,6
15,is,16,ok i,7,holding triangle then,5
16,triangle,16,okay my,7,ok my first,5
17,ok,15,then guy,6,it i have,5
18,of,13,kind of,6,it okay my,5
19,sailboat,10,first ones,6,dog with square,4
