,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,93,got it,86,got it got,37
1,i,92,i have,59,it got it,36
2,got,91,it got,37,then i have,15
3,have,62,then i,17,got it i,15
4,with,28,i got,16,i got it,14
5,then,26,it i,15,okay i have,11
6,like,22,okay i,12,it i got,8
7,okay,20,upside down,10,got it okay,8
8,down,17,it okay,8,i have person,7
9,triangle,13,have person,7,it okay i,4
10,person,11,with two,6,i have sailboat,4
11,two,11,dog going,5,done got it,4
12,one,11,looks like,5,an upside down,4
13,upside,10,ok i,4,ok i have,4
14,ok,10,sailboat with,4,i have like,3
15,sailboat,10,done got,4,two cut outs,3
16,going,10,have an,4,loch ness monster,3
17,flamingo,9,person with,4,have an upside,3
18,that,9,christmas tree,4,i have an,3
19,is,9,is like,4,it i have,3
