,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,207,i got,145,i got this,36
1,got,163,then i,53,then i got,34
2,then,79,got this,39,then i have,18
3,this,61,i have,31,so i got,14
4,like,50,upside down,15,two nacho bowl,9
5,you,37,so i,15,yo i got,9
6,have,36,you know,12,i have this,7
7,so,31,looks like,10,i got two,6
8,it,27,nacho bowl,10,got two nacho,5
9,that,26,yo i,9,i got i,5
10,to,24,two nacho,9,bowl then i,4
11,is,21,have this,8,man i got,4
12,in,21,all right,7,bowl i got,4
13,down,20,hold on,7,who does that,4
14,its,20,christmas tree,6,an upside down,4
15,on,20,to right,6,i got like,4
16,thing,20,got two,6,i got house,4
17,guy,18,guy running,6,got i got,4
18,with,18,going to,6,rare i got,3
19,right,18,flying bird,5,got this person,3
