,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,129,i have,104,got it got,17
1,have,107,got it,59,it got it,17
2,it,77,loch ness,19,okay i have,11
3,got,67,flying bird,18,then i have,10
4,then,51,it got,17,loch ness monster,10
5,like,46,upside down,14,got it i,9
6,with,41,okay i,12,it i have,8
7,triangle,28,looks like,12,i have an,6
8,okay,24,then i,12,you repeat those,6
9,down,23,ness monster,10,got it okay,5
10,bird,22,it i,10,i got it,5
11,to,21,to right,9,repeat those please,5
12,flying,21,palm tree,8,i dont know,5
13,its,19,i got,7,swan got it,4
14,ness,19,you repeat,7,i have house,4
15,you,19,rocket ship,7,ok i have,4
16,loch,19,one is,6,i have like,4
17,right,17,repeat those,6,big flying bird,4
18,sailboat,17,have an,6,it looks like,4
19,on,17,i dont,6,running to right,3
