,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,220,got it,110,got it got,39
1,got,205,i got,98,it got it,32
2,then,202,i have,76,all right i,31
3,it,129,all right,53,i got it,26
4,have,79,it got,39,okay i got,16
5,all,73,upside down,37,right i got,16
6,right,68,right i,33,got it okay,15
7,like,56,then its,27,then i have,13
8,its,55,okay i,27,yup yup yup,13
9,down,55,looks like,18,right i have,13
10,okay,54,so i,18,all right so,13
11,one,54,then i,17,it all right,12
12,triangle,49,i think,16,got it all,12
13,with,46,it okay,15,so i got,12
14,you,41,yup yup,15,i think i,11
15,to,41,last one,14,okay i have,9
16,that,39,right so,13,think i got,9
17,upside,37,it all,12,then upside down,9
18,of,35,first one,12,it okay i,8
19,so,34,rocket ship,11,then last one,8
