,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,87,i have,37,yup yup yup,11
1,got,52,i got,32,got it i,9
2,then,47,got it,20,all right i,9
3,have,38,upside down,16,i got it,6
4,it,27,all right,13,kiss from rose,6
5,right,21,yup yup,12,right i got,6
6,all,19,right i,10,so i got,5
7,that,18,it i,9,then i have,5
8,to,18,so i,6,got upside down,4
9,down,18,then i,6,all right so,4
10,yeah,17,kiss from,6,it i have,4
11,you,17,from rose,6,i got upside,4
12,upside,16,going to,5,there is running,3
13,its,15,i think,5,i think i,3
14,is,15,then its,5,is running man,3
15,one,14,yeah yeah,5,i have all,3
16,like,14,running man,4,okay i have,3
17,thats,13,got upside,4,im going to,3
18,yup,13,right so,4,then upside down,3
19,so,12,okay i,4,an upside down,2
