,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,163,got it,162,it got it,112
1,it,163,it got,112,got it got,111
2,then,67,i have,30,got it okay,26
3,i,42,it okay,26,okay i have,14
4,okay,35,okay i,16,okay got it,13
5,have,32,upside down,14,got it i,11
6,with,26,okay got,13,it okay got,11
7,down,22,it i,11,it okay i,11
8,upside,14,one is,9,got it ok,8
9,ok,13,it ok,8,first one is,6
10,like,13,my first,7,then upside down,6
11,guy,11,then upside,6,ok i have,5
12,one,11,ok i,6,it i have,5
13,first,11,first one,6,i got it,4
14,is,11,dog with,5,my first one,4
15,of,10,then dog,5,it ok i,4
16,tree,10,then guy,5,ok my first,3
17,turkey,10,i got,5,done got it,3
18,dog,9,then like,4,i pressed done,3
19,triangle,9,arrow pointing,4,it i pressed,3
