,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,138,i have,31,then boat then,8
1,i,61,got it,18,loch ness monster,8
2,like,43,i got,18,got it i,7
3,got,36,upside down,11,i have person,6
4,have,33,then person,10,then vase then,5
5,it,24,then boat,9,right hand corner,4
6,person,22,boat then,9,it i have,4
7,right,19,right hand,9,then i have,4
8,its,18,ness monster,8,it got it,4
9,on,16,loch ness,8,with no legs,4
10,with,15,it i,7,right hand side,4
11,down,14,then arrow,7,got it got,3
12,triangle,13,holding triangle,7,person upside down,3
13,one,12,then like,6,then person upside,3
14,hand,12,vase then,6,head is on,3
15,in,11,hand corner,6,i have dog,3
16,boat,11,tree then,6,upside down then,3
17,is,11,have person,6,then vulture then,3
18,arrow,11,its heads,6,then last one,3
19,upside,11,on right,5,then mouse then,3
