,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,192,got it,145,got it got,67
1,it,154,i got,68,it got it,62
2,i,136,it got,67,i got it,34
3,all,41,i have,32,got it okay,14
4,then,36,all right,20,yup yup yup,13
5,have,34,yup yup,15,i have all,12
6,okay,34,it okay,14,i think i,12
7,yeah,32,i think,13,all right i,12
8,you,28,okay i,12,think i got,10
9,that,27,right i,12,got it ok,10
10,yep,27,think i,12,okay i got,8
11,right,24,have all,12,it all right,8
12,ok,22,got you,11,got it all,8
13,those,20,it ok,11,got it i,7
14,of,20,yeah i,10,have all of,7
15,yup,18,yeah yeah,10,okay got it,7
16,think,14,yep i,9,right i got,6
17,one,14,all of,9,all of those,6
18,to,13,it all,9,yeah i got,6
19,down,11,ok i,9,yep i got,6
