,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,453,i have,225,then i have,39
1,have,243,i got,146,i got this,17
2,got,187,upside down,49,an upside down,15
3,like,120,then i,45,yo i got,13
4,then,101,looks like,28,loch ness monster,10
5,is,88,flying bird,23,two nacho bowl,9
6,that,80,got this,20,hey man i,9
7,it,75,i think,17,man i got,9
8,you,75,you know,17,i have big,8
9,down,71,got it,16,bird i have,8
10,this,56,an upside,15,i have an,8
11,to,55,man i,14,it looks like,8
12,bird,54,on his,14,i have dog,8
13,boat,53,thing is,13,i have like,7
14,of,52,super shredder,13,so i got,7
15,on,49,yo i,13,i have crab,7
16,upside,49,i dont,12,it i have,6
17,thing,49,nacho bowl,12,i have this,6
18,dog,47,it i,12,i have uh,6
19,so,44,native american,11,right i have,6
