,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,400,i have,186,then i have,44
1,got,235,i got,131,i got this,32
2,then,205,then i,72,loch ness monster,26
3,have,202,upside down,63,then i got,24
4,like,148,got it,52,okay i have,21
5,it,110,flying bird,36,an upside down,20
6,down,103,got this,36,i have an,16
7,with,86,looks like,32,i have like,12
8,this,67,loch ness,27,ok i have,12
9,upside,65,ness monster,26,i dont know,10
10,one,61,okay i,26,i got it,10
11,triangle,60,ive got,23,so i got,10
12,is,59,an upside,21,got it i,9
13,guy,58,one is,17,got it okay,9
14,sailboat,57,last one,17,i have this,8
15,bird,55,have an,16,have an upside,8
16,to,55,going to,14,last one is,8
17,flying,54,i dont,14,then last one,8
18,that,54,ok i,13,it looks like,7
19,okay,53,christmas tree,13,have flying bird,7
