,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,119,got it,107,it got it,44
1,got,110,i have,68,got it got,43
2,i,81,it got,44,got it i,15
3,have,74,it i,15,it i have,13
4,then,38,it okay,13,okay got it,12
5,like,32,okay got,12,got it okay,12
6,with,26,then i,10,then i have,10
7,okay,23,flying bird,10,it okay got,8
8,down,22,loch ness,9,okay i have,7
9,going,21,upside down,9,i got it,6
10,guy,18,i got,7,i have guy,6
11,sailboat,17,okay i,7,got it yeah,6
12,to,15,triangle body,6,got it ok,5
13,triangle,14,have guy,6,it okay i,4
14,dog,14,to left,6,i have person,4
15,bird,13,it yeah,6,ok got it,4
16,on,13,looks like,5,right side up,4
17,right,13,it ok,5,his legs spread,3
18,of,12,ok i,5,loch ness monster,3
19,up,12,going to,5,have this weird,3
