,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,219,i got,82,all right i,29
1,i,189,i have,58,right i got,19
2,got,138,all right,54,all right so,16
3,it,86,got it,46,so i got,15
4,right,76,upside down,33,i got it,14
5,like,73,right i,32,okay i got,13
6,one,71,looks like,26,right i have,12
7,have,66,so i,23,it got it,11
8,all,62,one is,22,got it got,11
9,down,54,last one,19,right so i,9
10,is,52,then its,18,okay so i,9
11,so,52,okay i,17,i think i,9
12,bird,50,right so,16,whole bunch of,8
13,with,50,flying bird,14,alright i have,7
14,to,48,we got,14,then last one,7
15,its,47,okay so,13,it all right,7
16,that,47,christmas tree,13,so i have,7
17,okay,46,yeah yeah,13,lady in dress,7
18,triangle,41,first one,12,first one is,7
19,of,40,ok i,11,half christmas tree,7
