,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,32,i have,23,then i have,8
1,have,23,got it,19,it got it,7
2,got,21,then i,8,got it got,7
3,it,21,it got,7,i have person,4
4,with,12,upside down,4,okay i have,4
5,then,10,okay i,4,i got it,3
6,okay,7,have person,4,loch ness monster,2
7,like,7,i got,3,have person with,2
8,down,6,ness monster,2,got it i,2
9,triangle,5,have upside,2,ok i have,2
10,sailboat,4,ok i,2,got it okay,2
11,person,4,have like,2,i have upside,2
12,upside,4,teapot indian,2,i have like,2
13,its,3,sailboat then,2,sailboat then i,2
14,two,3,it okay,2,have upside down,2
15,to,3,loch ness,2,i have sailboat,2
16,ok,3,it i,2,have sailboat with,2
17,sideways,3,person with,2,have person lying,1
18,that,3,sailboat with,2,air i have,1
19,square,2,have sailboat,2,triangle head i,1
