,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,289,got it,235,it got it,153
1,it,246,it got,156,got it got,152
2,i,77,i got,47,got it i,23
3,then,73,it i,24,it i got,15
4,with,29,i have,14,i got it,13
5,down,25,so i,11,got it okay,10
6,like,23,it okay,10,got it yep,9
7,one,23,ive got,10,yep got it,9
8,right,22,all right,10,it yep got,9
9,okay,17,upside down,10,got it all,7
10,have,15,it yep,9,okay got it,7
11,guy,15,yep got,9,so i have,7
12,on,13,okay got,7,it all right,7
13,its,12,it all,7,think i got,5
14,triangle,12,yeah i,6,i think i,5
15,is,12,last one,6,it okay got,5
16,so,12,going down,6,gotcha got it,5
17,all,12,i think,6,yeah i got,4
18,thing,11,one is,5,okay so i,4
19,weird,11,then weird,5,right got it,4
