,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,301,got it,98,first one is,30
1,got,227,i got,87,my first one,26
2,i,163,one is,78,got it i,22
3,one,137,upside down,56,got it got,19
4,with,128,i have,51,it got it,18
5,it,128,all right,38,it i got,17
6,is,120,first one,35,loch ness monster,15
7,down,86,my first,34,right i got,15
8,like,72,ive got,33,last one is,14
9,right,68,it i,23,all right i,14
10,first,64,so i,23,then last one,14
11,on,61,last one,23,got it all,12
12,my,61,it got,20,so i have,12
13,have,60,with two,19,it all right,12
14,triangle,58,third one,18,okay i have,11
15,upside,56,second one,16,second one is,11
16,dog,55,looking thing,15,third one is,11
17,sailboat,54,ness monster,15,so i got,11
18,guy,44,right i,15,got it alright,10
19,all,43,then last,15,then upside down,10
