,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,287,i have,206,got it i,20
1,have,211,got it,69,it i have,19
2,got,141,upside down,50,then i have,17
3,then,131,i got,44,loch ness monster,16
4,it,106,flying bird,38,okay i have,15
5,with,101,looks like,26,i have guy,12
6,down,76,okay i,24,it looks like,10
7,triangle,75,it i,22,big flying bird,9
8,guy,69,then i,21,i got it,9
9,one,68,rocket ship,21,an upside down,9
10,like,68,loch ness,21,got it got,8
11,dog,56,ness monster,16,i have dog,8
12,upside,50,to left,14,i have an,7
13,bird,49,third one,13,i have duck,7
14,okay,48,one is,13,i have ram,6
15,sailboat,47,have guy,12,third one is,6
16,flying,43,with its,12,i have crab,6
17,boat,39,it looks,10,flying bird i,6
18,an,39,last one,9,half christmas tree,6
19,flamingo,38,going to,9,i have triangle,6
