,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,350,i have,288,okay i have,42
1,have,302,got it,103,loch ness monster,37
2,then,166,okay i,48,then i have,31
3,it,154,ness monster,37,got it i,24
4,like,135,loch ness,37,it i have,22
5,got,121,then i,35,got it got,19
6,with,110,flying bird,34,it got it,19
7,okay,79,upside down,29,i have an,18
8,guy,74,looks like,28,i got it,17
9,to,71,it i,27,got it okay,16
10,an,61,rocket ship,27,ok i have,15
11,going,59,going to,25,going to left,13
12,triangle,59,to left,22,i have like,11
13,sailboat,57,i got,21,i have ram,10
14,down,57,it got,19,an upside down,9
15,bird,54,have an,18,going to right,9
16,one,54,kind of,18,it looks like,9
17,on,47,to right,17,okay got it,8
18,flamingo,43,it okay,17,i have house,8
19,its,43,ok i,15,have an arrow,8
