,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,278,got it,240,got it got,153
1,it,256,it got,155,it got it,153
2,i,109,i got,46,i got it,23
3,okay,32,i have,30,got it okay,20
4,have,32,it okay,20,got it i,16
5,that,27,it i,17,okay got it,12
6,then,23,okay got,15,it okay got,10
7,like,15,got that,14,it i got,8
8,yeah,13,i think,9,i got that,8
9,with,12,then i,9,then i have,6
10,ok,12,okay i,8,done got it,6
11,cool,10,yeah i,6,i think i,6
12,you,9,it ok,6,that got it,6
13,down,9,think i,6,think i got,5
14,thats,9,done got,6,got it done,5
15,flamingo,9,that got,6,loch ness monster,5
16,done,9,loch ness,5,it okay i,5
17,think,9,ness monster,5,got it ok,5
18,ive,8,upside down,5,okay i got,4
19,to,8,it done,5,it done got,4
